step,time_s,target,satellite,lat_deg,lon_deg,priority,cumulative_return
1,60,66,6,-29.0808,23.7948,0.01,0.01
8,480,48,0,8.28951,-80.3043,0.01,0.02
12,720,44,4,41.1993,69.4388,0.01,0.03
13,780,61,6,-73.0518,51.9821,0.01,0.04
16,960,49,4,52.9952,86.6773,0.01,0.06
16,960,63,6,-80.0072,84.1017,0.01,0.06
17,1020,90,1,-65.6549,-141.843,0.01,0.07
18,1080,87,5,-49.3544,-174.231,0.01,0.08
21,1260,46,3,34.9587,104.195,0.01,0.09
22,1320,19,6,-70.3582,153.862,0.01,0.1
23,1380,69,2,-79.7827,-15.009,0.01,0.12
23,1380,99,6,-64.3856,155.761,0.01,0.12
25,1500,2,3,47.9549,117.82,0.01,0.13
31,1860,81,6,-34.472,179.903,0.01,0.14
32,1920,94,6,-33.7443,179.257,0.01,0.15
35,2100,83,0,42.1079,28.9785,0.01,0.16
47,2820,80,4,1.74244,-134.319,0.01,0.17
51,3060,78,2,17.6729,52.7985,0.01,0.19
51,3060,98,5,3.81475,-44.5334,0.01,0.19
52,3120,34,2,19.6235,51.8462,0.01,0.2
55,3300,45,7,-83.2494,-125.897,0.01,0.21
63,3780,58,6,70.3566,-114.227,0.01,0.22
66,3960,38,1,61.2649,31.7493,0.01,0.23
70,4200,51,1,47.5651,52.83,0.01,0.24
71,4260,71,5,49.9545,25.0623,0.01,0.25
72,4320,74,5,50.9066,33.8094,0.01,0.26
75,4500,27,1,35.2147,70.7983,0.01,0.27
77,4620,3,1,26.5453,70.0255,0.01,0.28
78,4680,11,1,24.6682,69.555,0.01,0.29
81,4860,32,5,42.6043,80.3569,0.01,0.3
84,5040,86,2,35.9992,-143.155,0.01,0.31
85,5100,91,3,-45.1781,-8.05164,0.01,0.32
88,5280,4,5,28.1157,104.824,0.01,0.33
95,5700,28,3,-23.6707,25.381,0.01,0.34
103,6180,60,3,1.68497,43.5037,0.01,0.35
104,6240,5,5,-23.3069,135.598,0.01,0.36
105,6300,47,5,-25.2011,133.829,0.01,0.37
110,6600,52,4,52.9297,56.1132,0.01,0.38
117,7020,33,7,44.0786,-97.1204,0.01,0.39
120,7200,55,7,32.5618,-99.5733,0.01,0.4
124,7440,42,3,49.8372,110.925,0.01,0.42
124,7440,17,4,59.5781,161.485,0.01,0.42
125,7500,10,4,62.5322,166.194,0.01,0.43
126,7560,72,3,49.7774,123.728,0.01,0.44
131,7860,79,0,40.3893,0.353226,0.01,0.45
142,8520,77,1,32.1869,-96.4538,0.01,0.46
148,8880,88,5,11.9593,-67.8703,0.01,0.47
150,9000,6,1,51.7399,-66.6374,0.01,0.48
158,9480,18,7,-67.4843,97.2204,0.01,0.49
160,9600,39,2,71.0274,52.6347,0.01,0.5
167,10020,30,1,44.8248,39.7978,0.01,0.51
170,10200,0,2,65.2543,175.345,0.01,0.52
