step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
1,60,6,32.2182,6.00679,-29.0808,23.7948,-28.5208,24.2546,-28.7861,23.0475,-29.7125,23.2744,-29.3558,24.4721,1
8,480,0,30.5958,7.79341,8.28951,-80.3043,8.27714,-80.9566,7.64671,-80.175,8.30872,-79.5724,8.88301,-80.4108,1
12,720,4,-18.5755,-1.31996,41.1993,69.4388,41.0384,68.7824,40.7433,69.6709,41.3477,70.0622,41.6777,69.1879,1
13,780,6,29.2865,24.0961,-73.0518,51.9821,-72.2661,52.1232,-73.0311,49.7206,-73.9737,51.9053,-73.0914,54.1604,1
16,960,4,29.3661,12.5509,52.9952,86.6773,52.9354,85.6793,52.429,86.8991,53.0642,87.8036,53.5277,86.4932,1
16,960,6,34.2695,14.0079,-80.0072,84.1017,-79.288,82.5444,-80.3978,80.4702,-80.8254,86.2971,-79.6395,87.2577,1
17,1020,1,39.2048,3.62524,-65.6549,-141.843,-65.3239,-143.352,-66.4221,-142.157,-66.0201,-140.046,-64.9856,-141.561,1
18,1080,5,33.7308,-5.38823,-49.3544,-174.231,-48.7103,-174.275,-49.5398,-175.38,-50.069,-174.199,-49.1787,-173.224,1
21,1260,3,37.6344,5.80576,34.9587,104.195,35.0974,103.348,34.2109,104.272,34.794,105.172,35.6213,104.142,1
22,1320,6,-3.47324,-24.0192,-70.3582,153.862,-70.453,152.033,-70.9516,153.722,-70.279,155.558,-69.7947,153.909,1
23,1380,2,25.9478,14.5121,-79.7827,-15.009,-79.5057,-17.8057,-80.2829,-16.2302,-80.05,-11.6778,-79.3096,-13.8593,1
23,1380,6,-34.4365,-9.61362,-64.3856,155.761,-64.399,153.786,-65.0419,156.117,-64.3601,157.478,-63.6642,155.343,1
25,1500,3,-9.19611,20.4132,47.9549,117.82,48.0843,117.093,47.4607,117.552,47.8394,118.57,48.4802,118.144,1
31,1860,6,-29.9444,24.7523,-34.472,179.903,-34.6852,179.134,-35.2221,-179.738,-34.2199,-179.381,-33.5762,179.523,1
32,1920,6,-34.2246,-2.35201,-33.7443,179.257,-34.025,178.363,-34.3128,179.721,-33.4894,-179.957,-33.1109,178.737,1
35,2100,0,12.1072,24.2059,42.1079,28.9785,42.645,28.6606,41.9536,28.2786,41.5252,29.3548,42.233,29.7125,1
47,2820,4,-22.2623,21.8759,1.74244,-134.319,2.20555,-134.065,2.03635,-134.834,1.27304,-134.544,1.392,-133.75,1
51,3060,2,-24.2784,-4.91987,17.6729,52.7985,17.375,52.2889,17.2649,53.1159,17.9433,53.2707,18.1027,52.4528,1
51,3060,5,7.67236,-24.4036,3.81475,-44.5334,3.6666,-45.081,3.19334,-44.5197,3.92915,-44.0023,4.38375,-44.5706,1
52,3120,2,-33.5668,-23.4388,19.6235,51.8462,19.0652,51.1283,19.1797,52.246,20.075,52.4695,20.0663,51.386,1
55,3300,7,-16.6128,17.9859,-83.2494,-125.897,-83.2297,-121.226,-82.6636,-125.778,-83.2476,-130.548,-83.8906,-126.229,1
63,3780,6,38.6295,1.18836,70.3566,-114.227,70.6674,-116.351,69.4856,-114.535,69.9632,-111.863,71.1129,-113.913,1
66,3960,1,-15.0831,-12.4048,61.2649,31.7493,61.7833,31.405,61.1319,30.7775,60.778,32.0394,61.4059,32.7372,1
70,4200,1,12.9502,24.3733,47.5651,52.83,48.1175,52.7885,47.5998,52.0772,46.9564,52.9108,47.496,53.5972,1
71,4260,5,37.718,-2.71412,49.9545,25.0623,50.4472,24.2634,49.2111,24.4534,49.3799,25.941,50.5973,25.6093,1
72,4320,5,35.2297,15.2539,50.9066,33.8094,51.4283,32.9134,50.2908,33.2365,50.2998,34.8495,51.4507,34.3828,1
75,4500,1,-36.569,14.5209,35.2147,70.7983,35.8189,71.1989,35.3934,69.9343,34.6556,70.4679,34.9835,71.8014,1
77,4620,1,10.6864,16.3398,26.5453,70.0255,27.0356,70.1499,26.6695,69.5002,26.0173,69.9102,26.4018,70.5485,1
78,4680,1,22.8062,-9.39575,24.6682,69.555,25.1519,69.7345,24.827,68.9295,24.1643,69.3554,24.5279,70.1285,1
81,4860,5,15.7331,17.2885,42.6043,80.3569,43.1605,80.1932,42.4998,79.6403,42.0014,80.5554,42.683,81.0769,1
84,5040,2,-26.1569,1.02746,35.9992,-143.155,36.4589,-142.743,36.2496,-143.732,35.5709,-143.529,35.725,-142.533,1
85,5100,3,-33.3659,6.95307,-45.1781,-8.05163,-44.8575,-8.88004,-45.8002,-8.30747,-45.4529,-7.28436,-44.4739,-7.76145,1
88,5280,5,-30.628,5.72283,28.1157,104.824,28.7639,104.996,28.1437,104.098,27.5198,104.679,28.076,105.635,1
95,5700,3,-22.6246,-10.1394,-23.6707,25.381,-23.7109,24.7207,-24.1889,25.4441,-23.6399,25.985,-23.1295,25.301,1
103,6180,3,-26.7765,8.90009,1.68498,43.5037,1.66096,42.922,1.11042,43.6019,1.71964,44.0483,2.32219,43.4028,1
104,6240,5,6.75273,18.8186,-23.3069,135.598,-22.77,135.628,-23.239,135.035,-23.8805,135.588,-23.3954,136.175,1
105,6300,5,29.1272,-13.3257,-25.2011,133.829,-24.6245,133.973,-25.0963,133.012,-25.8115,133.651,-25.2781,134.556,1
110,6600,4,-8.47944,19.3568,52.9297,56.1132,52.8261,55.3325,52.4334,56.2229,53.0501,56.9087,53.4644,56.0234,1
117,7020,7,31.8409,-0.528607,44.0786,-97.1204,44.4352,-96.3733,44.5829,-97.8356,43.6811,-97.9422,43.6194,-96.4902,1
120,7200,7,33.9164,2.64278,32.5618,-99.5733,32.945,-98.9045,33.0589,-100.225,32.1262,-100.321,32.1081,-99.001,1
124,7440,3,21.6231,-11.4964,49.8372,110.925,50.113,110.244,49.32,110.445,49.5338,111.613,50.3136,111.36,1
124,7440,4,20.1991,24.9405,59.5781,161.485,60.1702,161.306,59.537,160.452,58.9118,161.729,59.5788,162.526,1
125,7500,4,-23.5299,-19.9146,62.5322,166.194,63.1953,166.112,62.5307,165.067,61.9422,166.226,62.5506,167.349,1
126,7560,3,35.2126,-1.72887,49.7774,123.728,50.2482,123.054,49.1645,123.099,49.2394,124.463,50.3154,124.299,1
131,7860,0,38.5597,-10.7314,40.3893,0.353224,41.0799,0.202855,40.0068,-0.759249,39.6063,0.487322,40.7132,1.30386,1
142,8520,1,-25.0084,1.65205,32.1869,-96.4538,32.0692,-97.1099,31.6802,-96.2547,32.2967,-95.843,32.7349,-96.672,1
148,8880,5,-32.3697,0.970818,11.9593,-67.8703,11.9196,-68.5946,11.3363,-67.7012,11.9982,-67.2184,12.6533,-68.0623,1
150,9000,1,36.7682,-4.32295,51.7399,-66.6374,51.905,-67.6366,50.9731,-66.6546,51.5334,-65.5251,52.4092,-66.6235,1
158,9480,7,36.7019,1.75013,-67.4843,97.2204,-68.1322,96.3886,-67.608,99.2943,-66.7405,98.1232,-67.3462,95.4157,1
160,9600,2,-28.5753,9.99695,71.0274,52.6347,70.9492,50.8979,70.4699,53.0898,71.0991,54.2616,71.6508,52.122,1
167,10020,1,-35.3437,12.1558,44.8248,39.7978,45.4436,40.1625,44.9313,38.8365,44.2553,39.4999,44.6803,40.9029,1
170,10200,2,-7.38935,18.8473,65.2543,175.345,65.7118,175.656,65.417,174.237,64.7801,175.081,65.0552,176.498,1
