step,time_s,satellite,lat_deg,lon_deg,alt_km,battery,sensing,az_cmd_deg,el_cmd_deg
0,0,0,-13.2157,-100.851,557.883,1,0,,
0,0,1,-32.2131,122.183,522.06,1,0,,
0,0,2,-4.06564,-115.204,510.406,1,0,,
0,0,3,-23.8056,52.002,534.069,1,0,,
0,0,4,-1.58333,55.4683,515.729,1,0,,
0,0,5,3.48132,142.214,561.277,1,0,,
0,0,6,-24.004,26.5583,584.003,1,0,,
0,0,7,56.3331,101.448,569.086,1,0,,
1,60,0,-10.3863,-98.5667,557.883,1,0,-29.4421,0
1,60,1,-35.4428,124.326,522.06,1,0,-29.6191,0
1,60,2,-7.78298,-114.652,510.406,1,0,-29.6772,0
1,60,3,-20.9146,54.3894,534.069,1,0,-29.5595,0
1,60,4,1.98217,56.5254,515.729,1,0,-29.6506,0
1,60,5,0.4168,144.144,561.277,1,0,-29.4255,0
1,60,6,-27.6285,27.3412,584.003,0.92,1,32.2182,6.00679
1,60,7,60.0085,99.747,569.086,1,0,-29.3873,0
2,120,0,-7.53728,-96.3282,557.883,1,0,-29.4421,0
2,120,1,-38.6213,126.668,522.06,1,0,-29.6191,0
2,120,2,-11.4988,-114.086,510.406,1,0,-29.6772,0
2,120,3,-17.9847,56.6763,534.069,1,0,-29.5595,0
2,120,4,5.54662,57.5883,515.729,1,0,-29.6506,0
2,120,5,-2.64831,146.072,561.277,1,0,-29.4255,0
2,120,6,-31.2448,28.1948,584.003,0.94,0,-29.3145,0
2,120,7,63.6641,97.6835,569.086,1,0,-29.3873,0
3,180,0,-4.67442,-94.1224,557.883,1,0,-29.4421,0
3,180,1,-41.7374,129.248,522.06,1,0,-29.6191,0
3,180,2,-15.2123,-113.497,510.406,1,0,-29.6772,0
3,180,3,-15.0228,58.8798,534.069,1,0,-29.5595,0
3,180,4,9.10815,58.6671,515.729,1,0,-29.6506,0
3,180,5,-5.70959,148.012,561.277,1,0,-29.4255,0
3,180,6,-34.8509,29.1364,584.003,0.96,0,-29.3145,0
3,180,7,67.2902,95.0852,569.086,1,0,-29.3873,0
4,240,0,-1.80305,-91.9365,557.883,1,0,-29.4421,0
4,240,1,-44.777,132.113,522.06,1,0,-29.6191,0
4,240,2,-18.9225,-112.879,510.406,1,0,-29.6772,0
4,240,3,-12.0354,61.0158,534.069,1,0,-29.5595,0
4,240,4,12.6648,59.7727,515.729,1,0,-29.6506,0
4,240,5,-8.76249,149.974,561.277,1,0,-29.4255,0
4,240,6,-38.4443,30.1872,584.003,0.98,0,-29.3145,0
4,240,7,70.8698,91.6559,569.086,1,0,-29.3873,0
5,300,0,1.07155,-89.7584,557.883,1,0,-29.4421,0
5,300,1,-47.7225,135.319,522.06,1,0,-29.6191,0
5,300,2,-22.6285,-112.22,510.406,1,0,-29.6772,0
5,300,3,-9.02809,63.0992,534.069,1,0,-29.5595,0
5,300,4,16.2143,60.9166,515.729,1,0,-29.6506,0
5,300,5,-11.8023,151.973,561.277,1,0,-29.4255,0
5,300,6,-42.0219,31.3743,584.003,1,0,-29.3145,0
5,300,7,74.371,86.8477,569.086,1,0,-29.3873,0
6,360,0,3.94423,-87.5757,557.883,1,0,-29.4421,0
6,360,1,-50.552,138.93,522.06,1,0,-29.6191,0
6,360,2,-26.3291,-111.512,510.406,1,0,-29.6772,0
6,360,3,-6.00631,65.1438,534.069,1,0,-29.5595,0
6,360,4,19.7544,62.1118,515.729,1,0,-29.6506,0
6,360,5,-14.8241,154.023,561.277,1,0,-29.4255,0
6,360,6,-45.5793,32.7325,584.003,1,0,-29.3145,0
6,360,7,77.7265,79.5609,569.086,1,0,-29.3873,0
7,420,0,6.80976,-85.3761,557.883,1,0,-29.4421,0
7,420,1,-53.2377,143.022,522.06,1,0,-29.6191,0
7,420,2,-30.0229,-110.74,510.406,1,0,-29.6772,0
7,420,3,-2.97509,67.163,534.069,1,0,-29.5595,0
7,420,4,23.2824,63.3725,515.729,1,0,-29.6506,0
7,420,5,-17.8223,156.138,561.277,1,0,-29.4255,0
7,420,6,-49.1111,34.3078,584.003,1,0,-29.3145,0
7,420,7,80.7756,67.4297,569.086,1,0,-29.3873,0
8,480,0,9.66282,-83.1472,557.883,0.92,1,30.5958,7.79341
8,480,1,-55.745,147.674,522.06,1,0,-29.6191,0
8,480,2,-33.7082,-109.889,510.406,1,0,-29.6772,0
8,480,3,0.0607833,69.1698,534.069,1,0,-29.5595,0
8,480,4,26.7951,64.7154,515.729,1,0,-29.6506,0
8,480,5,-20.7911,158.333,561.277,1,0,-29.4255,0
8,480,6,-52.6097,36.1619,584.003,1,0,-29.3145,0
8,480,7,83.0996,45.817,569.086,1,0,-29.3873,0
9,540,0,12.4978,-80.8759,557.883,0.94,0,-29.4421,0
9,540,1,-58.0311,152.967,522.06,1,0,-29.6191,0
9,540,2,-37.3828,-108.939,510.406,1,0,-29.6772,0
9,540,3,3.09656,71.1768,534.069,1,0,-29.5595,0
9,540,4,30.2889,66.1599,515.729,1,0,-29.6506,0
9,540,5,-23.7239,160.625,561.277,1,0,-29.4255,0
9,540,6,-56.0645,38.3794,584.003,1,0,-29.3145,0
9,540,7,83.8179,12.7313,569.086,1,0,-29.3873,0
10,600,0,15.3088,-78.5489,557.883,0.96,0,-29.4421,0
10,600,1,-60.0447,158.968,522.06,1,0,-29.6191,0
10,600,2,-41.0441,-107.866,510.406,1,0,-29.6772,0
10,600,3,6.1275,73.1968,534.069,1,0,-29.5595,0
10,600,4,33.7591,67.7294,515.729,1,0,-29.6506,0
10,600,5,-26.6133,163.034,561.277,1,0,-29.4255,0
10,600,6,-59.4605,41.0787,584.003,1,0,-29.3145,0
10,600,7,82.4569,-17.2722,569.086,1,0,-29.3873,0
11,660,0,18.0895,-76.1521,557.883,0.98,0,-29.4421,0
11,660,1,-61.727,165.709,522.06,1,0,-29.6191,0
11,660,2,-44.6884,-106.636,510.406,1,0,-29.6772,0
11,660,3,9.14879,75.2427,534.069,1,0,-29.5595,0
11,660,4,37.2005,69.452,515.729,1,0,-29.6506,0
11,660,5,-29.4506,165.58,561.277,1,0,-29.4255,0
11,660,6,-62.7752,44.4286,584.003,1,0,-29.3145,0
11,660,7,79.8189,-35.1211,569.086,1,0,-29.3873,0
12,720,0,20.833,-73.6706,557.883,1,0,-29.4421,0
12,720,1,-63.0154,173.157,522.06,1,0,-29.6191,0
12,720,2,-48.311,-105.209,510.406,1,0,-29.6772,0
12,720,3,12.1554,77.3279,534.069,1,0,-29.5595,0
12,720,4,40.606,71.3623,515.729,0.92,1,-18.5755,-1.31996
12,720,5,-32.2262,168.285,561.277,1,0,-29.4255,0
12,720,6,-65.9748,48.6734,584.003,1,0,-29.3145,0
12,720,7,76.6401,-45.2622,569.086,1,0,-29.3873,0
13,780,0,23.5315,-71.0884,557.883,1,0,-29.4421,0
13,780,1,-63.8513,-178.816,522.06,1,0,-29.6191,0
13,780,2,-51.9055,-103.525,510.406,1,0,-29.6772,0
13,780,3,15.1419,79.4664,534.069,1,0,-29.5595,0
13,780,4,43.9669,73.5032,515.729,0.94,0,-29.6506,0
13,780,5,-34.9287,171.173,561.277,1,0,-29.4255,0
13,780,6,-69.0064,54.1668,584.003,0.92,1,29.2865,24.0961
