target,lat_deg,lon_deg,on_land,priority,captured_step,captured_by
0,65.2543,175.345,1,0.01,170,2
1,51.2498,-111.732,1,0.01,-1,-1
2,47.9549,117.82,1,0.01,25,3
3,26.5453,70.0255,1,0.01,77,1
4,28.1157,104.824,1,0.01,88,5
5,-23.3069,135.598,1,0.01,104,5
6,51.7399,-66.6374,1,0.01,150,1
7,53.4432,140.802,1,0.01,-1,-1
8,19.9801,-11.9051,1,0.01,-1,-1
9,23.8221,112.514,1,0.01,-1,-1
10,62.5322,166.194,1,0.01,125,4
11,24.6682,69.555,1,0.01,78,1
12,-8.23603,-60.3079,1,0.01,-1,-1
13,64.1124,61.4851,1,0.01,-1,-1
14,41.4476,-101.629,1,0.01,-1,-1
15,25.1894,79.6646,1,0.01,-1,-1
16,-1.89725,13.665,1,0.01,-1,-1
17,59.5781,161.485,1,0.01,124,4
18,-67.4843,97.2204,1,0.01,158,7
19,-70.3582,153.862,1,0.01,22,6
20,63.4766,131.778,1,0.01,-1,-1
21,29.6635,117.041,1,0.01,-1,-1
22,22.693,-0.246902,1,0.01,-1,-1
23,-3.40028,23.1287,1,0.01,-1,-1
24,48.2243,-93.1365,1,0.01,-1,-1
25,-16.1357,-71.8937,1,0.01,-1,-1
26,-3.05466,105.681,1,0.01,-1,-1
27,35.2147,70.7983,1,0.01,75,1
28,-23.6707,25.381,1,0.01,95,3
29,-21.2081,136.572,1,0.01,-1,-1
30,44.8248,39.7978,1,0.01,167,1
31,26.7687,116.103,1,0.01,-1,-1
32,42.6043,80.3569,1,0.01,81,5
33,44.0786,-97.1204,1,0.01,117,7
34,19.6235,51.8462,1,0.01,52,2
35,32.9943,-100.426,1,0.01,-1,-1
36,-80.7318,-19.7718,1,0.01,-1,-1
37,9.13783,-1.72026,1,0.01,-1,-1
38,61.2649,31.7493,1,0.01,66,1
39,71.0274,52.6347,1,0.01,160,2
40,-80.4464,-20.6502,1,0.01,-1,-1
41,-40.6664,-64.286,1,0.01,-1,-1
42,49.8372,110.925,1,0.01,124,3
43,58.7145,-134.773,1,0.01,-1,-1
44,41.1993,69.4388,1,0.01,12,4
45,-83.2494,-125.897,1,0.01,55,7
46,34.9587,104.195,1,0.01,21,3
47,-25.2011,133.829,1,0.01,105,5
48,8.28951,-80.3043,1,0.01,8,0
49,52.9952,86.6773,1,0.01,16,4
50,27.1085,77.5743,1,0.01,-1,-1
51,47.5651,52.83,1,0.01,70,1
52,52.9297,56.1132,1,0.01,110,4
53,-8.72854,-64.8878,1,0.01,-1,-1
54,66.873,167.317,1,0.01,-1,-1
55,32.5618,-99.5733,1,0.01,120,7
56,-84.5425,72.3266,1,0.01,-1,-1
57,7.28182,2.49828,1,0.01,-1,-1
58,70.3566,-114.227,1,0.01,63,6
59,20.0291,94.4159,1,0.01,-1,-1
60,1.68497,43.5037,1,0.01,103,3
61,-73.0518,51.9821,1,0.01,13,6
62,36.2159,75.8128,1,0.01,-1,-1
63,-80.0072,84.1017,1,0.01,16,6
64,16.5188,120.861,1,0.01,-1,-1
65,40.2355,-112.217,1,0.01,-1,-1
66,-29.0808,23.7948,1,0.01,1,6
67,-20.2978,-48.0475,1,0.01,-1,-1
68,46.8393,116.571,1,0.01,-1,-1
69,-79.7827,-15.009,1,0.01,23,2
70,-29.7096,22.0547,1,0.01,-1,-1
71,49.9545,25.0623,1,0.01,71,5
72,49.7774,123.728,1,0.01,126,3
73,52.3929,135.052,1,0.01,-1,-1
74,50.9066,33.8094,1,0.01,72,5
75,-42.8067,-71.4119,1,0.01,-1,-1
76,5.90028,-61.2214,1,0.01,-1,-1
77,32.1869,-96.4538,1,0.01,142,1
78,17.6729,52.7985,1,0.01,51,2
79,40.3893,0.353226,1,0.01,131,0
80,1.74244,-134.319,0,0.01,47,4
81,-34.472,179.903,0,0.01,31,6
82,21.8803,160.058,0,0.01,-1,-1
83,42.1079,28.9785,0,0.01,35,0
84,-38.2717,-163.62,0,0.01,-1,-1
85,-27.5486,-10.9863,0,0.01,-1,-1
86,35.9992,-143.155,0,0.01,84,2
87,-49.3544,-174.231,0,0.01,18,5
88,11.9593,-67.8703,0,0.01,148,5
89,15.061,123.24,0,0.01,-1,-1
90,-65.6549,-141.843,0,0.01,17,1
91,-45.1781,-8.05164,0,0.01,85,3
92,-25.1979,106.241,0,0.01,-1,-1
93,13.7705,160.508,0,0.01,-1,-1
94,-33.7443,179.257,0,0.01,32,6
95,14.0033,-56.4438,0,0.01,-1,-1
96,-7.62969,119.127,0,0.01,-1,-1
97,27.5448,177.006,0,0.01,-1,-1
98,3.81475,-44.5334,0,0.01,51,5
99,-64.3856,155.761,0,0.01,23,6
