step,time_s,target,satellite,lat_deg,lon_deg,priority,cumulative_return
1,60,7683,0,-15.2531,-88.4734,3.84615e-05,0.00784615
1,60,5418,1,-49.1706,-69.1506,3.84615e-05,0.00784615
1,60,5475,1,-49.1207,-69.0506,3.84615e-05,0.00784615
1,60,5598,1,-48.6257,-68.7137,3.84615e-05,0.00784615
1,60,3923,2,-79.3743,2.53459,3.84615e-05,0.00784615
1,60,7619,3,-50.6312,74.4976,3.84615e-05,0.00784615
1,60,7280,4,-18.6533,78.24,3.84615e-05,0.00784615
1,60,3665,5,17.7903,96.7606,3.84615e-05,0.00784615
1,60,2934,6,54.0864,107.421,3.84615e-05,0.00784615
1,60,3407,6,53.6859,107.302,3.84615e-05,0.00784615
1,60,2057,8,50.1137,-106.061,3.84615e-05,0.00784615
1,60,3858,8,49.9906,-106.621,3.84615e-05,0.00784615
1,60,2373,9,17.6354,-93.596,3.84615e-05,0.00784615
1,60,2872,9,17.2262,-93.213,3.84615e-05,0.00784615
1,60,7116,10,-0.795296,108.251,3.84615e-05,0.00784615
1,60,7573,12,46.2824,165.238,3.84615e-05,0.00784615
1,60,7943,13,43.5498,-141.351,3.84615e-05,0.00784615
1,60,2735,14,23.5183,-101.854,3.84615e-05,0.00784615
1,60,4245,14,23.5673,-101.251,3.84615e-05,0.00784615
1,60,4928,14,23.4683,-100.93,3.84615e-05,0.00784615
1,60,3844,15,2.22494,-73.7628,3.84615e-05,0.00784615
1,60,3845,15,2.48746,-73.623,3.84615e-05,0.00784615
1,60,2630,16,-29.0128,-50.4831,3.84615e-05,0.00784615
1,60,4857,16,-28.6934,-50.4577,3.84615e-05,0.00784615
1,60,7913,17,-49.0694,-11.1305,3.84615e-05,0.00784615
1,60,7341,18,-44.0876,37.0766,3.84615e-05,0.00784615
1,60,7131,19,-24.9891,76.1377,3.84615e-05,0.00784615
1,60,3212,20,-4.3654,-59.3736,3.84615e-05,0.00784615
1,60,6226,20,-4.02943,-59.2089,3.84615e-05,0.00784615
1,60,7350,21,-41.1147,-45.5454,3.84615e-05,0.00784615
1,60,2620,22,-76.9541,-17.3837,3.84615e-05,0.00784615
1,60,5747,22,-76.8037,-17.7856,3.84615e-05,0.00784615
1,60,2875,23,-67.5269,109.136,3.84615e-05,0.00784615
1,60,3610,24,-30.3077,116.094,3.84615e-05,0.00784615
1,60,7256,25,7.23416,123.58,3.84615e-05,0.00784615
1,60,5307,26,41.8717,126.501,3.84615e-05,0.00784615
1,60,5783,26,41.9959,126.51,3.84615e-05,0.00784615
1,60,2682,28,63.8305,-85.0675,3.84615e-05,0.00784615
1,60,5842,28,63.7786,-85.3107,3.84615e-05,0.00784615
1,60,7642,32,-27.1483,-43.0754,3.84615e-05,0.00784615
1,60,7255,33,-63.2994,-38.1913,3.84615e-05,0.00784615
1,60,4730,34,-81.0324,134.597,3.84615e-05,0.00784615
1,60,7266,35,-47.484,150.22,3.84615e-05,0.00784615
1,60,7702,35,-47.8364,149.783,3.84615e-05,0.00784615
1,60,2855,38,59.6909,138.296,3.84615e-05,0.00784615
1,60,6514,38,59.3808,138.233,3.84615e-05,0.00784615
1,60,4182,39,81.3147,-45.8151,3.84615e-05,0.00784615
1,60,5840,39,81.7288,-46.6858,3.84615e-05,0.00784615
1,60,3277,40,45.2441,-82.9115,3.84615e-05,0.00784615
1,60,6361,40,44.9269,-82.984,3.84615e-05,0.00784615
1,60,7858,41,29.8306,-45.5883,3.84615e-05,0.00784615
1,60,7779,42,-0.61245,-18.2791,3.84615e-05,0.00784615
1,60,6801,45,-45.8449,92.4865,3.84615e-05,0.00784615
1,60,3591,46,-30.1295,136.549,3.84615e-05,0.00784615
1,60,4154,46,-30.1647,137.158,3.84615e-05,0.00784615
1,60,7452,47,-1.22648,163.304,3.84615e-05,0.00784615
1,60,7581,48,26.15,-178.055,3.84615e-05,0.00784615
