step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
1,60,0,0.992095,-23.8685,-15.2531,-88.4734,-14.6867,-88.2323,-14.8844,-88.9894,-15.7749,-88.7271,-15.5753,-87.9732,1
1,60,1,-29.1287,-9.9379,-49.1706,-69.1506,-48.4423,-68.7909,-49.0417,-70.0883,-49.8156,-69.4928,-49.2832,-68.1309,3
1,60,2,39.7998,6.07843,-79.3743,2.53459,-78.7471,-0.430317,-80.1636,0.091524,-80.0704,6.49161,-78.6813,4.46087,1
1,60,3,34.5719,17.477,-50.6312,74.4976,-50.9899,73.3239,-51.2207,75.2198,-50.1767,75.8398,-50.0661,73.8931,1
1,60,4,-32.5135,-21.602,-18.6533,78.24,-19.1788,77.3681,-19.202,78.6408,-18.2236,78.9873,-18.0942,77.7787,1
1,60,5,35.9553,12.193,17.7903,96.7606,17.4453,95.9988,17.187,97.2808,18.2004,97.6473,18.3484,96.3088,1
1,60,6,-11.0282,23.3005,54.0864,107.421,53.8744,106.516,53.4926,107.68,54.3257,108.343,54.7436,107.174,2
1,60,8,-30.9036,21.1356,50.1137,-106.061,50.6801,-105.448,50.4882,-107.159,49.5542,-106.578,49.6411,-104.82,2
1,60,9,-33.7849,4.57514,17.6354,-93.596,18.2321,-93.0946,17.9422,-94.2787,17.0912,-94.0352,17.2833,-92.8263,2
1,60,10,29.3141,19.3786,-0.795296,108.251,-0.880256,107.598,-1.36834,108.38,-0.677625,108.998,-0.245395,108.156,1
1,60,12,-9.19156,-18.6227,46.2824,165.238,46.4418,164.482,45.8305,164.933,46.1136,165.932,46.733,165.517,1
1,60,13,35.6458,-6.16843,43.5498,-141.351,44.1387,-141.632,43.1451,-142.234,42.8874,-141.061,43.901,-140.572,1
1,60,14,32.4891,17.6723,23.5673,-101.251,24.2546,-101.296,23.4341,-101.915,22.772,-101.18,23.6616,-100.626,3
1,60,15,-23.783,-4.96113,2.22494,-73.7628,2.8031,-73.701,2.23531,-74.2824,1.69245,-73.823,2.22096,-73.2103,2
