target,lat_deg,lon_deg,on_land,priority,captured_step,captured_by,window_open,window_close
0,-6.52375,30.3914,1,0.000384615,163,197,138,166
1,14.2115,34.346,1,0.000384615,67,96,55,72
2,61.5252,82.4808,1,0.000384615,57,190,40,58
3,-25.8556,144.382,1,0.000384615,139,68,135,162
4,-3.01814,124.27,1,0.000384615,-1,-1,116,145
5,58.9863,123.26,1,0.000384615,171,186,151,179
6,-15.1199,-49.2976,1,0.000384615,-1,-1,73,92
7,54.7021,86.0875,1,0.000384615,86,126,72,101
8,-11.5298,-47.0416,1,0.000384615,126,157,117,132
9,46.8117,128.427,1,0.000384615,-1,-1,58,84
10,27.0038,1.68297,1,0.000384615,-1,-1,71,83
11,36.4926,95.7157,1,0.000384615,132,22,128,150
12,14.4852,2.08191,1,0.000384615,140,177,130,156
13,29.7172,8.13347,1,0.000384615,139,98,136,162
14,40.8793,-103.785,1,0.000384615,-1,-1,90,106
15,-7.03705,-41.5569,1,0.000384615,-1,-1,35,49
16,39.678,98.7831,1,0.000384615,-1,-1,154,165
17,71.831,-179.161,1,0.000384615,27,194,21,36
18,-83.1744,-26.7423,1,0.000384615,98,22,83,99
19,12.0572,-72.0941,1,0.000384615,-1,-1,98,118
20,50.7109,-122.162,1,0.000384615,164,43,163,178
21,42.743,-119.561,1,0.000384615,138,105,114,138
22,44.7887,135.424,1,0.000384615,-1,-1,47,72
23,-31.4012,-57.0361,1,0.000384615,101,159,87,114
24,49.244,-5.16689,1,0.000384615,157,130,151,172
25,30.6524,-103.256,1,0.000384615,-1,-1,54,76
26,38.6466,92.5909,1,0.000384615,-1,-1,135,158
27,7.32339,102.291,1,0.000384615,89,127,89,112
28,0.316394,26.2811,1,0.000384615,-1,-1,47,66
29,32.9906,47.6089,1,0.000384615,37,160,19,40
30,16.3514,100.757,1,0.000384615,-1,-1,95,105
31,21.3477,43.7536,1,0.000384615,-1,-1,53,64
32,38.42,109.035,1,0.000384615,121,163,113,134
33,23.5085,44.3025,1,0.000384615,159,106,150,162
34,44.9655,-70.3006,1,0.000384615,80,55,80,103
35,53.7688,78.1955,1,0.000384615,37,108,32,59
36,55.0274,119.928,1,0.000384615,47,33,45,61
37,12.825,107.451,1,0.000384615,121,34,119,138
38,5.26261,-61.263,1,0.000384615,-1,-1,24,35
39,62.2636,34.0662,1,0.000384615,-1,-1,93,117
40,-6.93563,30.5565,1,0.000384615,163,197,138,166
41,15.3668,34.7281,1,0.000384615,57,97,55,72
42,61.5447,77.9631,1,0.000384615,54,106,40,58
43,-26.3482,145.731,1,0.000384615,-1,-1,135,162
44,-3.31892,125.226,1,0.000384615,128,148,116,145
45,56.8173,122.75,1,0.000384615,151,144,151,179
46,-16.0071,-49.7194,1,0.000384615,-1,-1,73,92
47,56.161,84.7933,1,0.000384615,78,185,72,101
48,-11.3231,-45.7711,1,0.000384615,117,158,117,132
49,46.6676,126.884,1,0.000384615,64,31,58,84
50,28.1833,1.88226,1,0.000384615,-1,-1,71,83
51,35.1731,98.3031,1,0.000384615,146,32,128,150
52,15.6537,1.15477,1,0.000384615,135,169,130,156
53,27.5245,7.7912,1,0.000384615,158,167,136,162
54,41.7709,-101.651,1,0.000384615,-1,-1,90,106
55,-7.11267,-41.829,1,0.000384615,-1,-1,35,49
56,40.035,100.277,1,0.000384615,-1,-1,154,165
57,72.0023,-178.404,1,0.000384615,27,194,21,36
58,-86.8974,-1.65021,1,0.000384615,-1,-1,83,99
59,12.7692,-71.2689,1,0.000384615,-1,-1,98,118
