step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
1,60,1,-29.4144,-10.0746,-49.1367,-69.1138,-48.4027,-68.752,-49.0091,-70.0553,-49.7858,-69.4578,-49.2476,-68.0893,3
1,60,2,27.7267,2.78868,-77.6369,-0.376939,-77.1692,-2.36132,-78.1657,-2.39289,-78.1322,1.9787,-77.1415,1.35616,1
1,60,4,-32.7089,-21.8043,-18.6773,78.2004,-19.2087,77.321,-19.2274,78.6035,-18.2437,78.9528,-18.117,77.7358,1
1,60,8,-31.3703,20.8502,50.1569,-105.982,50.7254,-105.356,50.5316,-107.089,49.5971,-106.508,49.6837,-104.728,2
1,60,9,-34.0373,3.79084,17.7307,-93.5833,18.3349,-93.0777,18.0335,-94.2686,17.1819,-94.0257,17.3844,-92.8104,1
1,60,13,36.0416,-6.78943,43.5194,-141.465,44.113,-141.743,43.1085,-142.363,42.8508,-141.178,43.875,-140.675,1
1,60,14,33.4863,17.4641,23.4762,-101.343,24.1772,-101.385,23.3325,-102.019,22.6615,-101.275,23.5792,-100.71,3
1,60,15,33.189,-9.30933,-0.800271,-78.0754,-0.224762,-77.9493,-0.767987,-78.8077,-1.42755,-78.2296,-0.821485,-77.4314,1
1,60,16,27.8025,17.1352,-29.0966,-50.5798,-28.4728,-50.615,-29.1764,-51.2298,-29.8031,-50.5196,-29.0415,-49.9594,2
1,60,18,-34.1483,-18.23,-44.092,37.015,-43.7179,35.9683,-44.6519,36.7258,-44.4188,37.9097,-43.4751,37.2793,1
1,60,19,-37.0279,-9.09266,-25.022,76.0559,-24.9234,75.1652,-25.6537,76.1374,-25.109,76.8246,-24.3172,75.9456,1
1,60,20,40.3748,0.631893,-6.53755,-59.6054,-6.04356,-59.1125,-6.18725,-60.3288,-7.10671,-60.1823,-6.8446,-58.9825,2
1,60,23,35.8207,-20.396,-67.5602,108.964,-67.7441,107.472,-68.3608,109.958,-67.3809,110.588,-66.889,108.136,1
1,60,24,-16.2895,-12.4436,-30.4119,116.136,-30.7231,115.628,-30.806,116.445,-30.1295,116.611,-30.0169,115.81,1
1,60,28,35.9024,-10.681,63.8592,-85.1772,64.402,-84.5997,64.0234,-86.8972,63.2632,-85.8309,63.7087,-83.7015,2
