step,time_s,satellite,lat_deg,lon_deg,alt_km,battery,sensing,az_cmd_deg,el_cmd_deg
0,0,0,-13.9331,-88.5061,594.452,1,0,,
0,0,1,-48.0798,-74.7549,594.452,1,0,,
0,0,2,-74.3977,-15.6846,594.452,1,0,,
0,0,3,-54.5217,65.2155,594.452,1,0,,
0,0,4,-20.761,81.7155,594.452,1,0,,
0,0,5,13.9331,91.4939,594.452,1,0,,
0,0,6,48.0798,105.245,594.452,1,0,,
0,0,7,74.3977,164.315,594.452,1,0,,
0,0,8,54.5217,-114.785,594.452,1,0,,
0,0,9,20.761,-98.2845,594.452,1,0,,
0,0,10,-3.4076,102.723,524.361,1,0,,
0,0,11,23.4608,127.31,524.361,1,0,,
0,0,12,44.7175,163.079,524.361,1,0,,
0,0,13,47.761,-144.016,524.361,1,0,,
0,0,14,29.6233,-103.322,524.361,1,0,,
0,0,15,3.40759,-77.2772,524.361,1,0,,
0,0,16,-23.4608,-52.6897,524.361,1,0,,
0,0,17,-44.7175,-16.9211,524.361,1,0,,
0,0,18,-47.761,35.9844,524.361,1,0,,
0,0,19,-29.6233,76.6779,524.361,1,0,,
0,0,20,-2.06673,-56.0247,507.688,1,0,,
0,0,21,-37.4785,-48.9773,507.688,1,0,,
0,0,22,-71.5232,-26.2168,507.688,1,0,,
0,0,23,-67.8445,99.2833,507.688,1,0,,
0,0,24,-33.3747,117.28,507.688,1,0,,
0,0,25,2.06671,123.975,507.688,1,0,,
0,0,26,37.4785,131.023,507.688,1,0,,
0,0,27,71.5232,153.783,507.688,1,0,,
0,0,28,67.8444,-80.7166,507.688,1,0,,
0,0,29,33.3747,-62.7201,507.688,1,0,,
0,0,30,50.4142,-35.0149,516.838,1,0,,
0,0,31,14.4781,-37.6554,516.838,1,0,,
0,0,32,-21.4782,-39.4632,516.838,1,0,,
0,0,33,-57.3995,-42.7133,516.838,1,0,,
0,0,34,-85.5329,179.924,516.838,1,0,,
0,0,35,-50.4142,144.985,516.838,1,0,,
0,0,36,-14.4781,142.345,516.838,1,0,,
0,0,37,21.4782,140.537,516.838,1,0,,
0,0,38,57.3994,137.287,516.838,1,0,,
0,0,39,85.5329,-0.0762357,516.838,1,0,,
0,0,40,49.8881,-88.474,549.801,1,0,,
0,0,41,30.4941,-47.7795,549.801,1,0,,
0,0,42,3.22653,-22.8972,549.801,1,0,,
0,0,43,-24.6063,0.604052,549.801,1,0,,
0,0,44,-46.8865,36.2338,549.801,1,0,,
0,0,45,-49.8881,91.526,549.801,1,0,,
0,0,46,-30.4941,132.22,549.801,1,0,,
0,0,47,-3.22652,157.103,549.801,1,0,,
0,0,48,24.6063,-179.396,549.801,1,0,,
0,0,49,46.8865,-143.766,549.801,1,0,,
0,0,50,-3.0918,175.178,572.377,1,0,,
0,0,51,24.5907,-161.132,572.377,1,0,,
0,0,52,46.6567,-125.36,572.377,1,0,,
0,0,53,49.5161,-70.4046,572.377,1,0,,
0,0,54,30.2255,-29.8367,572.377,1,0,,
0,0,55,3.09181,-4.82238,572.377,1,0,,
0,0,56,-24.5907,18.8685,572.377,1,0,,
0,0,57,-46.6567,54.6397,572.377,1,0,,
0,0,58,-49.5161,109.595,572.377,1,0,,
0,0,59,-30.2255,150.163,572.377,1,0,,
0,0,60,-42.217,54.9664,525.845,1,0,,
0,0,61,-55.0451,107.469,525.845,1,0,,
0,0,62,-40.8595,158.446,525.845,1,0,,
0,0,63,-13.8231,-174.271,525.845,1,0,,
0,0,64,15.5226,-153.182,525.845,1,0,,
0,0,65,42.217,-125.034,525.845,1,0,,
0,0,66,55.0451,-72.531,525.845,1,0,,
0,0,67,40.8595,-21.5535,525.845,1,0,,
0,0,68,13.8231,5.72946,525.845,1,0,,
0,0,69,-15.5226,26.8179,525.845,1,0,,
0,0,70,-28.6856,45.6826,560.918,1,0,,
0,0,71,-59.2555,73.5458,560.918,1,0,,
0,0,72,-65.5918,156.373,560.918,1,0,,
0,0,73,-37.8768,-163.642,560.918,1,0,,
0,0,74,-4.74915,-148.189,560.918,1,0,,
0,0,75,28.6856,-134.317,560.918,1,0,,
0,0,76,59.2555,-106.454,560.918,1,0,,
0,0,77,65.5918,-23.6266,560.918,1,0,,
0,0,78,37.8768,16.358,560.918,1,0,,
0,0,79,4.74911,31.8112,560.918,1,0,,
0,0,80,-55.2941,-177.417,515.248,1,0,,
0,0,81,-28.0802,-144.576,515.248,1,0,,
0,0,82,3.46654,-126.556,515.248,1,0,,
0,0,83,34.6487,-107.18,515.248,1,0,,
0,0,84,59.2555,-66.8042,515.248,1,0,,
0,0,85,55.2941,2.58281,515.248,1,0,,
0,0,86,28.0802,35.4244,515.248,1,0,,
0,0,87,-3.46653,53.444,515.248,1,0,,
0,0,88,-34.6487,72.8201,515.248,1,0,,
0,0,89,-59.2555,113.196,515.248,1,0,,
0,0,90,33.0442,-73.2113,534.998,1,0,,
0,0,91,46.7931,-29.0305,534.998,1,0,,
0,0,92,39.3515,20.0376,534.998,1,0,,
0,0,93,17.2818,52.8363,534.998,1,0,,
0,0,94,-8.8243,77.9167,534.998,1,0,,
0,0,95,-33.0442,106.789,534.998,1,0,,
0,0,96,-46.7931,150.969,534.998,1,0,,
0,0,97,-39.3515,-159.962,534.998,1,0,,
0,0,98,-17.2818,-127.164,534.998,1,0,,
0,0,99,8.82431,-102.083,534.998,1,0,,
0,0,100,59.3726,-87.9247,538.452,1,0,,
0,0,101,83.9288,62.059,538.452,1,0,,
0,0,102,48.4572,84.6585,538.452,1,0,,
0,0,103,12.5119,87.0446,538.452,1,0,,
0,0,104,-23.4485,88.7692,538.452,1,0,,
0,0,105,-59.3726,92.0753,538.452,1,0,,
0,0,106,-83.9288,-117.941,538.452,1,0,,
0,0,107,-48.4572,-95.3415,538.452,1,0,,
0,0,108,-12.5119,-92.9554,538.452,1,0,,
0,0,109,23.4485,-91.2308,538.452,1,0,,
0,0,110,-0.179995,-74.509,500.054,1,0,,
0,0,111,27.6953,-50.7647,500.054,1,0,,
0,0,112,49.0388,-12.869,500.054,1,0,,
0,0,113,49.2088,43.4842,500.054,1,0,,
0,0,114,28.0247,81.6699,500.054,1,0,,
0,0,115,0.179988,105.491,500.054,1,0,,
0,0,116,-27.6953,129.235,500.054,1,0,,
0,0,117,-49.0388,167.131,500.054,1,0,,
0,0,118,-49.2088,-136.516,500.054,1,0,,
0,0,119,-28.0247,-98.3301,500.054,1,0,,
0,0,120,-53.9711,-64.5995,579.566,1,0,,
0,0,121,-18.2965,-58.344,579.566,1,0,,
0,0,122,17.5035,-54.4906,579.566,1,0,,
0,0,123,53.1856,-48.3782,579.566,1,0,,
0,0,124,84.0444,29.7814,579.566,1,0,,
0,0,125,53.9711,115.4,579.566,1,0,,
0,0,126,18.2965,121.656,579.566,1,0,,
0,0,127,-17.5035,125.509,579.566,1,0,,
0,0,128,-53.1856,131.622,579.566,1,0,,
0,0,129,-84.0444,-150.219,579.566,1,0,,
0,0,130,-21.3376,158.169,569.305,1,0,,
0,0,131,-45.9323,-169.529,569.305,1,0,,
0,0,132,-53.0084,-113.711,569.305,1,0,,
0,0,133,-35.0187,-69.0798,569.305,1,0,,
0,0,134,-7.45664,-43.8453,569.305,1,0,,
0,0,135,21.3376,-21.8309,569.305,1,0,,
0,0,136,45.9322,10.4713,569.305,1,0,,
0,0,137,53.0084,66.2886,569.305,1,0,,
0,0,138,35.0188,110.92,569.305,1,0,,
0,0,139,7.45666,136.155,569.305,1,0,,
0,0,140,46.034,155.198,577.861,1,0,,
0,0,141,10.1704,158.862,577.861,1,0,,
0,0,142,-25.7245,161.686,577.861,1,0,,
0,0,143,-61.507,167.519,577.861,1,0,,
0,0,144,-81.1172,-48.8466,577.861,1,0,,
0,0,145,-46.034,-24.8024,577.861,1,0,,
0,0,146,-10.1704,-21.1376,577.861,1,0,,
0,0,147,25.7245,-18.3143,577.861,1,0,,
0,0,148,61.507,-12.4813,577.861,1,0,,
0,0,149,81.1172,131.153,577.861,1,0,,
0,0,150,-19.1417,-21.6373,540.822,1,0,,
0,0,151,6.58306,3.92647,540.822,1,0,,
0,0,152,30.8908,32.2887,540.822,1,0,,
0,0,153,45.7301,74.8247,540.822,1,0,,
0,0,154,40.1811,124.232,540.822,1,0,,
0,0,155,19.1417,158.363,540.822,1,0,,
0,0,156,-6.58305,-176.074,540.822,1,0,,
0,0,157,-30.8908,-147.711,540.822,1,0,,
0,0,158,-45.7301,-105.175,540.822,1,0,,
0,0,159,-40.1811,-55.7679,540.822,1,0,,
0,0,160,-47.5584,-73.0302,548.209,1,0,,
0,0,161,-36.1693,-26.3113,548.209,1,0,,
0,0,162,-12.5302,3.90529,548.209,1,0,,
0,0,163,13.8354,28.64,548.209,1,0,,
0,0,164,37.1483,59.4663,548.209,1,0,,
0,0,165,47.5584,106.97,548.209,1,0,,
0,0,166,36.1693,153.689,548.209,1,0,,
0,0,167,12.5302,-176.095,548.209,1,0,,
0,0,168,-13.8354,-151.36,548.209,1,0,,
0,0,169,-37.1483,-120.534,548.209,1,0,,
0,0,170,-47.4766,33.4058,553.24,1,0,,
0,0,171,-11.4769,33.5869,553.24,1,0,,
0,0,172,24.5228,33.7213,553.24,1,0,,
0,0,173,60.5223,33.9892,553.24,1,0,,
0,0,174,83.4738,-148.155,553.24,1,0,,
0,0,175,47.4766,-146.594,553.24,1,0,,
0,0,176,11.4769,-146.413,553.24,1,0,,
0,0,177,-24.5228,-146.279,553.24,1,0,,
0,0,178,-60.5224,-146.011,553.24,1,0,,
0,0,179,-83.4738,31.8448,553.24,1,0,,
0,0,180,-40.8486,27.5466,508.899,1,0,,
0,0,181,-9.32559,47.1837,508.899,1,0,,
0,0,182,23.0709,63.2238,508.899,1,0,,
0,0,183,52.7594,90.003,508.899,1,0,,
0,0,184,63.6696,159.159,508.899,1,0,,
0,0,185,40.8486,-152.453,508.899,1,0,,
0,0,186,9.3256,-132.816,508.899,1,0,,
0,0,187,-23.0708,-116.776,508.899,1,0,,
0,0,188,-52.7595,-89.997,508.899,1,0,,
0,0,189,-63.6696,-20.8411,508.899,1,0,,
0,0,190,-29.9708,-99.6646,598.205,1,0,,
0,0,191,-61.6868,-73.6439,598.205,1,0,,
0,0,192,-67.6543,18.0219,598.205,1,0,,
0,0,193,-38.0364,55.03,598.205,1,0,,
0,0,194,-4.13261,68.2944,598.205,1,0,,
0,0,195,29.9708,80.3354,598.205,1,0,,
0,0,196,61.6868,106.356,598.205,1,0,,
0,0,197,67.6543,-161.978,598.205,1,0,,
0,0,198,38.0364,-124.97,598.205,1,0,,
0,0,199,4.13263,-111.706,598.205,1,0,,
1,60,0,-17.5254,-87.6996,594.452,1,0,30.2965,24.1637
1,60,1,-51.491,-72.6529,594.452,0.91,1,-29.4144,-10.0746
1,60,2,-74.7962,-1.92553,594.452,0.91,1,27.7267,2.78868
1,60,3,-51.1592,67.6536,594.452,1,0,31.3608,4.18706
1,60,4,-17.174,82.56,594.452,0.91,1,-32.7089,-21.8043
1,60,5,17.5254,92.3004,594.452,1,0,17.8924,23.6058
1,60,6,51.491,107.347,594.452,1,0,-11.1513,23.2163
1,60,7,74.7962,178.074,594.452,1,0,29.9102,-0.847766
1,60,8,51.1592,-112.346,594.452,0.91,1,-31.3703,20.8502
1,60,9,17.174,-97.44,594.452,0.91,1,-34.0373,3.79084
1,60,10,-0.522678,104.933,524.361,1,0,-37.9619,-2.97503
1,60,11,26.1142,130.042,524.361,1,0,30.2632,-0.847766
1,60,12,46.1635,167.823,524.361,1,0,-9.62884,-19.0436
1,60,13,46.6319,-138.94,524.361,0.91,1,36.0416,-6.78943
1,60,14,27.0599,-100.399,524.361,0.91,1,33.4863,17.4641
