step,time_s,target,satellite,lat_deg,lon_deg,priority,cumulative_return
1,60,7547,0,-21.1908,-90.0465,3.84615e-05,0.00784615
1,60,5418,1,-49.1706,-69.1506,3.84615e-05,0.00784615
1,60,5475,1,-49.1207,-69.0506,3.84615e-05,0.00784615
1,60,5598,1,-48.6257,-68.7137,3.84615e-05,0.00784615
1,60,2316,2,-77.544,-0.14917,3.84615e-05,0.00784615
1,60,7498,3,-51.8607,72.7871,3.84615e-05,0.00784615
1,60,7280,4,-18.6533,78.24,3.84615e-05,0.00784615
1,60,2730,5,19.4476,94.7336,3.84615e-05,0.00784615
1,60,2934,6,54.0864,107.421,3.84615e-05,0.00784615
1,60,3407,6,53.6859,107.302,3.84615e-05,0.00784615
1,60,2057,8,50.1137,-106.061,3.84615e-05,0.00784615
1,60,3858,8,49.9906,-106.621,3.84615e-05,0.00784615
1,60,2373,9,17.6354,-93.596,3.84615e-05,0.00784615
1,60,2872,9,17.2262,-93.213,3.84615e-05,0.00784615
1,60,3431,10,1.72,101.901,3.84615e-05,0.00784615
1,60,7573,12,46.2824,165.238,3.84615e-05,0.00784615
1,60,7943,13,43.5498,-141.351,3.84615e-05,0.00784615
1,60,2735,14,23.5183,-101.854,3.84615e-05,0.00784615
1,60,4245,14,23.5673,-101.251,3.84615e-05,0.00784615
1,60,4928,14,23.4683,-100.93,3.84615e-05,0.00784615
1,60,2235,15,-0.729279,-77.9897,3.84615e-05,0.00784615
1,60,5650,15,-0.295418,-77.7849,3.84615e-05,0.00784615
1,60,2630,16,-29.0128,-50.4831,3.84615e-05,0.00784615
1,60,4857,16,-28.6934,-50.4577,3.84615e-05,0.00784615
1,60,7913,17,-49.0694,-11.1305,3.84615e-05,0.00784615
1,60,7341,18,-44.0876,37.0766,3.84615e-05,0.00784615
1,60,7131,19,-24.9891,76.1377,3.84615e-05,0.00784615
1,60,2779,20,-6.6772,-59.5621,3.84615e-05,0.00784615
1,60,3895,20,-6.85862,-59.4989,3.84615e-05,0.00784615
1,60,7129,21,-42.7653,-50.6923,3.84615e-05,0.00784615
1,60,2620,22,-76.9541,-17.3837,3.84615e-05,0.00784615
1,60,5747,22,-76.8037,-17.7856,3.84615e-05,0.00784615
1,60,2875,23,-67.5269,109.136,3.84615e-05,0.00784615
1,60,3610,24,-30.3077,116.094,3.84615e-05,0.00784615
1,60,7132,25,7.45277,128.074,3.84615e-05,0.00784615
1,60,5307,26,41.8717,126.501,3.84615e-05,0.00784615
1,60,5783,26,41.9959,126.51,3.84615e-05,0.00784615
1,60,2682,28,63.8305,-85.0675,3.84615e-05,0.00784615
1,60,5842,28,63.7786,-85.3107,3.84615e-05,0.00784615
1,60,7642,32,-27.1483,-43.0754,3.84615e-05,0.00784615
1,60,7255,33,-63.2994,-38.1913,3.84615e-05,0.00784615
1,60,2400,34,-84.0793,163.222,3.84615e-05,0.00784615
1,60,6782,34,-84.2232,164.329,3.84615e-05,0.00784615
1,60,7266,35,-47.484,150.22,3.84615e-05,0.00784615
1,60,7702,35,-47.8364,149.783,3.84615e-05,0.00784615
1,60,2855,38,59.6909,138.296,3.84615e-05,0.00784615
1,60,6514,38,59.3808,138.233,3.84615e-05,0.00784615
1,60,4182,39,81.3147,-45.8151,3.84615e-05,0.00784615
1,60,5840,39,81.7288,-46.6858,3.84615e-05,0.00784615
1,60,3277,40,45.2441,-82.9115,3.84615e-05,0.00784615
