step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
1,60,0,29.4928,24.8759,-21.1907,-90.0465,-20.4462,-89.6912,-20.9355,-90.7168,-22.0788,-90.4388,-21.4769,-89.418,1
1,60,1,-29.1287,-9.9379,-49.1706,-69.1506,-48.4423,-68.7909,-49.0417,-70.0883,-49.8156,-69.4928,-49.2832,-68.1309,3
1,60,2,26.9874,3.3044,-77.544,-0.149168,-77.0847,-2.12355,-78.0652,-2.11262,-78.0288,2.18801,-77.0544,1.55051,1
1,60,3,30.5902,5.30044,-51.8607,72.7871,-52.0966,71.7549,-52.4635,73.3913,-51.5832,73.9256,-51.3016,72.2631,1
1,60,4,-32.5135,-21.602,-18.6533,78.24,-19.1788,77.3681,-19.202,78.6408,-18.2236,78.9873,-18.0942,77.7787,1
1,60,5,17.1368,23.7059,19.4476,94.7335,19.0783,94.1587,18.9323,95.0375,19.8814,95.3633,19.9837,94.4562,1
1,60,6,-11.0282,23.3005,54.0864,107.421,53.8744,106.516,53.4926,107.68,54.3257,108.343,54.7436,107.174,2
1,60,8,-30.9036,21.1356,50.1137,-106.061,50.6801,-105.448,50.4882,-107.159,49.5542,-106.578,49.6411,-104.82,2
1,60,9,-33.7849,4.57514,17.6354,-93.596,18.2321,-93.0946,17.9422,-94.2787,17.0912,-94.0352,17.2833,-92.8263,2
1,60,10,-37.8371,-2.39822,1.72,101.901,1.75554,101.119,1.07408,102.055,1.69032,102.582,2.45288,101.718,1
1,60,12,-9.19156,-18.6227,46.2824,165.238,46.4418,164.482,45.8305,164.933,46.1136,165.932,46.733,165.517,1
1,60,13,35.6458,-6.16843,43.5498,-141.351,44.1387,-141.632,43.1451,-142.234,42.8874,-141.061,43.901,-140.572,1
1,60,14,32.4891,17.6723,23.5673,-101.251,24.2546,-101.296,23.4341,-101.915,22.772,-101.18,23.6616,-100.626,3
1,60,15,32.285,-9.40046,-0.729278,-77.9897,-0.161843,-77.8702,-0.69373,-78.7061,-1.34511,-78.1358,-0.753334,-77.3572,2
1,60,16,26.7036,17.3375,-29.0128,-50.4831,-28.3996,-50.5213,-29.0859,-51.1225,-29.7047,-50.4194,-28.9636,-49.8697,2
1,60,17,27.3673,17.1532,-49.0694,-11.1305,-48.5169,-11.5574,-49.37,-11.8709,-49.685,-10.612,-48.7989,-10.4147,1
1,60,18,-34.092,-17.8616,-44.0876,37.0766,-43.7141,36.0388,-44.647,36.7883,-44.4141,37.9649,-43.4714,37.3411,1
1,60,19,-36.8572,-8.40408,-24.9891,76.1377,-24.8881,75.2587,-25.6198,76.2167,-25.0778,76.8981,-24.285,76.0314,1
1,60,20,40.2382,1.97785,-6.6772,-59.5621,-6.17583,-59.0721,-6.33869,-60.2789,-7.25733,-60.1353,-6.97657,-58.9436,2
1,60,21,25.0092,12.7334,-42.7653,-50.6923,-42.3025,-50.2785,-42.5105,-51.3299,-43.283,-51.145,-43.0183,-50.0909,1
1,60,22,14.2491,23.0767,-76.9541,-17.3837,-76.418,-17.4116,-76.9034,-19.5539,-77.5451,-17.2463,-77.0132,-15.1695,2
1,60,23,36.2369,-19.8503,-67.5269,109.136,-67.7097,107.635,-68.3262,110.155,-67.347,110.776,-66.8567,108.289,1
1,60,24,-16.942,-11.3227,-30.3077,116.094,-30.6144,115.584,-30.7005,116.406,-30.0285,116.57,-29.9116,115.765,1
1,60,25,35.492,21.1424,7.45277,128.074,6.99746,127.479,7.01852,128.551,8.01053,128.768,7.87941,127.658,1
1,60,26,-40.6199,-0.853129,41.8717,126.501,41.5036,125.526,41.3826,127.16,42.1853,127.345,42.4285,125.716,2
1,60,28,35.6935,-10.244,63.8305,-85.0675,64.3718,-84.4942,63.9922,-86.7674,63.236,-85.7148,63.6818,-83.6057,2
1,60,32,29.5287,20.6609,-27.1483,-43.0754,-26.6878,-42.5424,-26.7639,-43.5645,-27.6925,-43.679,-27.5352,-42.6298,1
1,60,33,-29.3602,19.8499,-63.2994,-38.1913,-62.9551,-37.1605,-62.8039,-39.1298,-63.6429,-39.1556,-63.8749,-37.1062,1
1,60,34,-6.81804,-20.9732,-84.0793,163.222,-84.5949,161.568,-84.2917,167.724,-83.6007,164.685,-83.86,159.085,2
1,60,35,39.1377,-11.7295,-47.484,150.22,-47.9162,149.491,-47.9703,151.315,-47.0096,151.05,-47.0714,149.3,2
1,60,38,10.1804,-18.2372,59.6909,138.296,59.3064,137.697,59.2996,139.031,60.0549,138.93,60.0398,137.575,2
1,60,39,38.573,12.2571,81.3147,-45.815,81.8564,-42.3645,81.5939,-50.3066,80.6349,-49.3011,81.0052,-42.1383,2
1,60,40,31.4139,13.9147,45.244,-82.9115,45.8683,-83.2967,44.8936,-83.6776,44.5348,-82.4633,45.5457,-82.176,2
1,60,41,-11.6078,-19.5577,29.8306,-45.5883,30.4219,-45.6508,29.857,-46.1956,29.2838,-45.5523,29.8242,-44.9892,1
1,60,42,-22.784,-24.7893,3.55168,-20.7104,4.31001,-20.7287,3.6233,-21.2761,2.88805,-20.7184,3.51553,-20.1378,1
1,60,45,-35.347,-15.8501,-45.8449,92.4864,-45.4491,91.3514,-46.4549,92.2082,-46.1869,93.4591,-45.1674,92.7422,1
1,60,46,27.1182,-7.47472,-30.1295,136.549,-30.096,135.897,-30.7897,136.588,-30.1737,137.248,-29.5325,136.508,2
1,60,47,-22.8379,-20.1918,-0.533402,156.276,-0.687349,155.589,-1.07981,156.358,-0.415081,156.891,0.0202194,156.165,1
