step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
1,60,0,0.992095,-23.8685,-15.2531,-88.4734,-14.6867,-88.2323,-14.8844,-88.9894,-15.7749,-88.7271,-15.5753,-87.9732,1
1,60,1,-29.1287,-9.9379,-49.1706,-69.1506,-48.4423,-68.7909,-49.0417,-70.0883,-49.8156,-69.4928,-49.2832,-68.1309,3
1,60,2,39.7998,6.07843,-79.3743,2.53459,-78.7471,-0.430317,-80.1636,0.091524,-80.0704,6.49161,-78.6813,4.46087,1
1,60,3,30.5902,5.30044,-51.8607,72.7871,-52.0966,71.7549,-52.4635,73.3913,-51.5832,73.9256,-51.3016,72.2631,1
1,60,4,-32.5135,-21.602,-18.6533,78.24,-19.1788,77.3681,-19.202,78.6408,-18.2236,78.9873,-18.0942,77.7787,1
1,60,5,17.9077,9.25865,17.9232,94.3239,17.6436,93.7873,17.4297,94.6393,18.2304,94.8984,18.4066,94.0279,1
1,60,6,-11.0282,23.3005,54.0864,107.421,53.8744,106.516,53.4926,107.68,54.3257,108.343,54.7436,107.174,2
1,60,7,29.4297,7.20699,71.7051,-179.527,72.2193,179.074,71.1823,179.08,71.1234,-178.036,72.1693,-178.141,11
1,60,8,-31.3044,-12.6911,53.7888,-108.256,54.5494,-107.685,53.9676,-109.311,53.1248,-108.757,53.6081,-107.114,1
1,60,9,-33.7849,4.57514,17.6354,-93.596,18.2321,-93.0946,17.9422,-94.2787,17.0912,-94.0352,17.2833,-92.8263,2
1,60,10,33.2961,-4.85637,-1.571,126.187,-1.54452,125.59,-2.26754,126.295,-1.61006,126.846,-0.953402,126.088,4
1,60,11,27.6919,-0.376253,25.488,151.373,25.5519,150.764,24.8838,151.389,25.4129,152.034,26.042,151.36,1
1,60,12,35.8564,10.2316,43.7716,-168.743,44.1275,-169.562,43.1155,-169.022,43.3609,-167.802,44.3567,-168.462,1
1,60,13,30.2913,16.2814,42.8027,-117.798,43.3916,-118.169,42.4824,-118.485,42.135,-117.363,43.0788,-117.13,11
