target,lat_deg,lon_deg,on_land,priority,captured_step,captured_by
0,-6.52375,30.3914,1,0.000384615,46,93
1,14.2115,34.346,1,0.000384615,3,41
2,61.5252,82.4808,1,0.000384615,16,82
3,-25.8556,144.382,1,0.000384615,10,68
4,-3.01814,124.27,1,0.000384615,2,68
5,58.9863,123.26,1,0.000384615,4,6
6,-15.1199,-49.2976,1,0.000384615,125,27
7,54.7021,86.0875,1,0.000384615,118,4
8,-11.5298,-47.0416,1,0.000384615,80,75
9,46.8117,128.427,1,0.000384615,24,98
10,27.0038,1.68297,1,0.000384615,71,33
11,36.4926,95.7157,1,0.000384615,28,97
12,14.4852,2.08191,1,0.000384615,46,36
13,29.7172,8.13347,1,0.000384615,23,38
14,40.8793,-103.785,1,0.000384615,14,7
15,-7.03705,-41.5569,1,0.000384615,72,76
16,39.678,98.7831,1,0.000384615,49,95
17,71.831,-179.161,1,0.000384615,1,7
18,-83.1744,-26.7423,1,0.000384615,43,39
19,12.0572,-72.0941,1,0.000384615,35,11
20,50.7109,-122.162,1,0.000384615,10,12
21,42.743,-119.561,1,0.000384615,21,11
22,44.7887,135.424,1,0.000384615,95,85
23,-31.4012,-57.0361,1,0.000384615,74,75
24,49.244,-5.16689,1,0.000384615,23,50
25,30.6524,-103.256,1,0.000384615,26,6
26,38.6466,92.5909,1,0.000384615,16,4
27,7.32339,102.291,1,0.000384615,118,18
28,0.316394,26.2811,1,0.000384615,85,43
29,32.9906,47.6089,1,0.000384615,5,53
30,16.3514,100.757,1,0.000384615,64,61
31,21.3477,43.7536,1,0.000384615,104,98
32,38.42,109.035,1,0.000384615,120,75
33,23.5085,44.3025,1,0.000384615,105,98
34,44.9655,-70.3006,1,0.000384615,18,47
35,53.7688,78.1955,1,0.000384615,98,6
36,55.0274,119.928,1,0.000384615,10,76
37,12.825,107.451,1,0.000384615,45,63
38,5.26261,-61.263,1,0.000384615,41,69
39,62.2636,34.0662,1,0.000384615,9,75
40,-6.93563,30.5565,1,0.000384615,46,93
41,15.3668,34.7281,1,0.000384615,111,97
42,61.5447,77.9631,1,0.000384615,35,80
43,-26.3482,145.731,1,0.000384615,48,29
44,-3.31892,125.226,1,0.000384615,12,67
45,56.8173,122.75,1,0.000384615,51,89
46,-16.0071,-49.7194,1,0.000384615,45,11
47,56.161,84.7933,1,0.000384615,79,8
48,-11.3231,-45.7711,1,0.000384615,96,20
49,46.6676,126.884,1,0.000384615,12,76
50,28.1833,1.88226,1,0.000384615,74,43
51,35.1731,98.3031,1,0.000384615,169,70
52,15.6537,1.15477,1,0.000384615,74,33
53,27.5245,7.7912,1,0.000384615,24,38
54,41.7709,-101.651,1,0.000384615,4,8
55,-7.11267,-41.829,1,0.000384615,72,76
56,40.035,100.277,1,0.000384615,18,4
57,72.0023,-178.404,1,0.000384615,1,7
58,-86.8974,-1.65021,1,0.000384615,73,36
59,12.7692,-71.2689,1,0.000384615,5,14
60,51.3327,-123.475,1,0.000384615,19,6
61,41.5765,-116.437,1,0.000384615,32,10
62,46.9259,136.416,1,0.000384615,23,75
63,-30.8949,-55.4033,1,0.000384615,95,73
64,47.3341,-5.22324,1,0.000384615,19,63
65,31.0557,-101.647,1,0.000384615,16,7
66,39.3372,94.6705,1,0.000384615,27,3
67,5.70002,102.801,1,0.000384615,87,11
68,1.8299,25.2423,1,0.000384615,84,43
69,33.3296,47.2753,1,0.000384615,5,53
70,17.4759,100.674,1,0.000384615,43,63
71,19.4405,46.1305,1,0.000384615,75,91
72,38.024,108.693,1,0.000384615,130,74
73,22.8435,45.9608,1,0.000384615,97,54
74,42.7919,-70.132,1,0.000384615,61,55
75,53.7544,77.6295,1,0.000384615,98,6
76,56.2939,120.877,1,0.000384615,29,74
77,13.4595,107.757,1,0.000384615,6,67
78,4.24678,-64.1012,1,0.000384615,9,14
79,63.4759,32.9741,1,0.000384615,28,73
80,-5.22855,34.0085,1,0.000384615,38,94
81,14.9002,35.1378,1,0.000384615,33,48
82,62.3314,82.3079,1,0.000384615,84,78
83,-25.4605,144.893,1,0.000384615,11,68
84,-4.20488,126.706,1,0.000384615,13,67
85,59.8951,123.604,1,0.000384615,5,6
86,-17.5024,-49.793,1,0.000384615,98,73
87,55.6013,91.6688,1,0.000384615,80,8
88,-11.431,-45.7873,1,0.000384615,71,76
89,45.318,128.608,1,0.000384615,4,90
90,27.3488,1.5336,1,0.000384615,71,33
91,37.395,98.0417,1,0.000384615,17,4
92,14.6298,2.69392,1,0.000384615,55,35
93,28.3711,9.21616,1,0.000384615,14,39
94,41.0163,-105.121,1,0.000384615,24,11
95,-6.82378,-41.814,1,0.000384615,72,76
96,43.0765,98.8464,1,0.000384615,38,2
97,71.5563,178.986,1,0.000384615,2,38
98,-84.9463,-27.3945,1,0.000384615,16,32
99,11.5581,-71.8943,1,0.000384615,110,62
100,50.8697,-120.824,1,0.000384615,11,7
101,42.8611,-116.169,1,0.000384615,12,12
102,46.24,136.424,1,0.000384615,13,76
103,-32.1153,-56.5407,1,0.000384615,74,75
104,47.1336,-3.55659,1,0.000384615,2,75
105,31.6521,-103.496,1,0.000384615,6,8
106,37.8594,97.2471,1,0.000384615,159,71
107,5.66431,101.831,1,0.000384615,87,11
108,1.91003,24.6792,1,0.000384615,113,40
109,31.2952,49.2072,1,0.000384615,15,52
110,16.0813,101.264,1,0.000384615,34,64
111,19.328,44.9576,1,0.000384615,85,90
112,34.7481,109.199,1,0.000384615,161,71
113,24.7744,43.677,1,0.000384615,76,56
114,42.8102,-71.5233,1,0.000384615,71,54
115,52.0838,76.9084,1,0.000384615,97,6
116,54.5101,119.071,1,0.000384615,10,76
117,11.3272,105.862,1,0.000384615,26,65
118,5.00828,-63.5932,1,0.000384615,28,12
119,63.6736,31.96,1,0.000384615,28,73
120,-8.82072,32.546,1,0.000384615,26,95
121,15.05,35.7099,1,0.000384615,33,48
122,60.5984,83.0933,1,0.000384615,65,87
123,-25.996,143.799,1,0.000384615,10,68
124,-4.662,125.45,1,0.000384615,23,66
125,55.6636,126.669,1,0.000384615,21,75
126,-16.4996,-48.7909,1,0.000384615,16,14
127,56.7924,84.9207,1,0.000384615,79,8
128,-11.8581,-45.8083,1,0.000384615,71,76
129,43.3324,128.222,1,0.000384615,63,71
130,28.786,1.36955,1,0.000384615,80,32
131,35.8077,94.7164,1,0.000384615,19,65
132,13.3943,2.34039,1,0.000384615,65,85
133,29.1335,7.67415,1,0.000384615,51,35
134,41.1593,-102.302,1,0.000384615,4,8
135,-6.16907,-42.0145,1,0.000384615,63,77
136,40.7035,99.1735,1,0.000384615,8,5
137,70.7625,177.094,1,0.000384615,11,6
138,-86.461,-29.9465,1,0.000384615,7,33
139,11.6469,-69.7303,1,0.000384615,26,12
140,50.9877,-124.786,1,0.000384615,9,12
141,42.7888,-117.358,1,0.000384615,1,13
142,46.4065,137.877,1,0.000384615,6,90
143,-30.5739,-57.3211,1,0.000384615,75,75
144,47.1903,-1.74278,1,0.000384615,1,75
145,30.9612,-101.948,1,0.000384615,16,7
146,37.9106,94.865,1,0.000384615,6,5
147,6.73179,101.896,1,0.000384615,76,60
148,2.11949,24.8486,1,0.000384615,83,43
149,31.5213,47.9443,1,0.000384615,127,96
150,17.2501,102.12,1,0.000384615,14,66
151,20.4015,43.4113,1,0.000384615,86,55
152,38.0475,109.788,1,0.000384615,150,72
153,23.5542,44.8544,1,0.000384615,106,53
154,43.0105,-70.9546,1,0.000384615,71,54
155,53.2283,76.0056,1,0.000384615,108,5
156,55.7912,120.729,1,0.000384615,29,74
157,12.9397,106.42,1,0.000384615,100,10
158,3.85985,-63.1095,1,0.000384615,21,61
159,64.0193,33.7299,1,0.000384615,48,71
160,-8.17683,34.7174,1,0.000384615,78,44
161,15.8122,35.294,1,0.000384615,23,49
162,61.5433,81.0273,1,0.000384615,6,83
163,-25.8438,143.38,1,0.000384615,10,68
164,-3.27597,125.446,1,0.000384615,12,67
165,57.398,123.637,1,0.000384615,12,83
166,-16.7847,-48.4641,1,0.000384615,16,14
167,55.6775,85.8268,1,0.000384615,69,9
168,-10.953,-45.4176,1,0.000384615,96,20
169,45.2636,128.811,1,0.000384615,4,90
170,29.1611,0.28891,1,0.000384615,80,32
171,35.2361,94.7175,1,0.000384615,9,66
172,15.3,1.14589,1,0.000384615,74,33
173,29.6077,7.90166,1,0.000384615,23,38
174,41.2019,-101.227,1,0.000384615,4,8
175,-6.61729,-41.1309,1,0.000384615,76,22
176,42.0174,100.209,1,0.000384615,28,3
177,71.6175,179.971,1,0.000384615,1,7
178,-86.1872,-23.1214,1,0.000384615,54,38
179,10.3633,-70.8747,1,0.000384615,81,65
180,51.9941,-123.429,1,0.000384615,19,6
181,43.2172,-116.249,1,0.000384615,12,12
182,47.6987,137.305,1,0.000384615,65,88
183,-31.8711,-57.0315,1,0.000384615,74,75
184,46.232,-2.07518,1,0.000384615,10,64
185,30.5128,-101.315,1,0.000384615,20,46
186,38.1,95.4655,1,0.000384615,27,97
187,5.66148,102.471,1,0.000384615,87,11
188,1.34284,24.3849,1,0.000384615,84,43
189,31.5272,48.762,1,0.000384615,15,52
190,16.96,103.63,1,0.000384615,15,66
191,20.3806,43.9152,1,0.000384615,86,55
192,35.9137,108.186,1,0.000384615,160,71
193,23.305,44.2917,1,0.000384615,105,98
194,44.9068,-70.9792,1,0.000384615,18,47
195,53.3717,78.2393,1,0.000384615,98,6
196,55.4718,119.232,1,0.000384615,3,6
197,11.9324,105.951,1,0.000384615,46,63
198,5.79085,-63.6864,1,0.000384615,31,60
199,62.16,32.3032,1,0.000384615,38,72
200,-8.18419,31.9801,1,0.000384615,27,95
201,13.7954,35.4166,1,0.000384615,4,41
202,61.3754,81.6018,1,0.000384615,55,88
203,-26.1502,143.746,1,0.000384615,10,68
204,-3.02861,125.893,1,0.000384615,120,22
205,58.9573,123.249,1,0.000384615,4,6
206,-16.7394,-49.4889,1,0.000384615,15,14
207,55.4571,85.557,1,0.000384615,69,9
208,-12.686,-49.3549,1,0.000384615,14,14
209,44.4417,128.918,1,0.000384615,25,98
210,28.0923,2.59134,1,0.000384615,42,36
211,36.8332,96.5524,1,0.000384615,17,98
212,14.2982,2.94655,1,0.000384615,55,35
213,30.5582,9.36481,1,0.000384615,35,47
214,40.7377,-102.103,1,0.000384615,5,8
215,-7.40074,-41.755,1,0.000384615,62,77
216,40.7626,99.4047,1,0.000384615,29,97
217,70.3513,-179.754,1,0.000384615,12,37
218,-85.5115,-10.5271,1,0.000384615,15,32
219,11.4003,-69.5688,1,0.000384615,26,12
220,51.7447,-121.68,1,0.000384615,10,7
221,43.8458,-117.141,1,0.000384615,2,13
222,45.2792,136.815,1,0.000384615,16,99
223,-31.61,-55.9863,1,0.000384615,65,76
224,47.6758,-3.89316,1,0.000384615,3,52
225,30.0517,-103.212,1,0.000384615,26,6
226,39.4205,94.2497,1,0.000384615,27,3
227,5.87742,101.221,1,0.000384615,56,62
228,0.632972,23.6434,1,0.000384615,96,98
229,31.6598,49.1539,1,0.000384615,15,52
230,15.7882,102.089,1,0.000384615,24,65
231,19.8958,43.2491,1,0.000384615,87,55
232,36.4356,109.411,1,0.000384615,121,75
233,24.0986,44.2007,1,0.000384615,66,57
234,42.8669,-68.4222,1,0.000384615,62,55
235,52.4975,79.7122,1,0.000384615,88,7
236,54.1611,118.948,1,0.000384615,49,72
237,13.0742,106.983,1,0.000384615,45,63
238,3.63517,-61.7,1,0.000384615,29,12
239,63.1713,31.6604,1,0.000384615,28,73
240,-7.46443,31.6841,1,0.000384615,66,91
241,15.4078,34.383,1,0.000384615,32,48
242,59.4846,79.2581,1,0.000384615,84,85
243,-25.4784,144.433,1,0.000384615,11,68
244,-2.97888,128.113,1,0.000384615,111,23
245,58.909,126.373,1,0.000384615,3,84
246,-16.6225,-49.2351,1,0.000384615,15,14
247,54.4517,86.0247,1,0.000384615,78,8
248,-12.3497,-45.477,1,0.000384615,71,76
249,42.8558,130.424,1,0.000384615,75,93
250,27.8855,1.29842,1,0.000384615,52,35
251,37.6945,98.2644,1,0.000384615,17,4
252,14.0632,1.49937,1,0.000384615,56,35
253,28.7396,9.38625,1,0.000384615,14,39
254,41.1612,-102.702,1,0.000384615,5,8
255,-5.48017,-41.6512,1,0.000384615,75,22
256,41.7456,99.7868,1,0.000384615,79,92
257,72.1892,-173.918,1,0.000384615,22,36
258,-86.0123,-45.0481,1,0.000384615,26,31
259,10.0732,-69.5147,1,0.000384615,61,67
260,52.5762,-123.557,1,0.000384615,58,2
261,42.7128,-120.255,1,0.000384615,21,11
262,47.5564,137.298,1,0.000384615,3,77
263,-31.6423,-56.2105,1,0.000384615,74,75
264,47.3633,-4.05246,1,0.000384615,3,52
265,29.9377,-101.617,1,0.000384615,20,46
266,39.1776,92.0287,1,0.000384615,16,4
267,5.91544,100.966,1,0.000384615,56,62
268,1.60182,26.497,1,0.000384615,74,44
