step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
1,60,0,29.4928,24.8759,-21.1907,-90.0465,-20.4462,-89.6912,-20.9355,-90.7168,-22.0788,-90.4388,-21.4769,-89.418,1
1,60,1,-29.1287,-9.9379,-49.1706,-69.1506,-48.4423,-68.7909,-49.0417,-70.0883,-49.8156,-69.4928,-49.2832,-68.1309,3
1,60,2,26.9874,3.3044,-77.544,-0.149168,-77.0847,-2.12355,-78.0652,-2.11262,-78.0288,2.18801,-77.0544,1.55051,1
1,60,3,30.5902,5.30044,-51.8607,72.7871,-52.0966,71.7549,-52.4635,73.3913,-51.5832,73.9256,-51.3016,72.2631,1
1,60,4,-32.5135,-21.602,-18.6533,78.24,-19.1788,77.3681,-19.202,78.6408,-18.2236,78.9873,-18.0942,77.7787,1
1,60,5,17.1368,23.7059,19.4476,94.7335,19.0783,94.1587,18.9323,95.0375,19.8814,95.3633,19.9837,94.4562,1
1,60,6,-11.0282,23.3005,54.0864,107.421,53.8744,106.516,53.4926,107.68,54.3257,108.343,54.7436,107.174,2
1,60,7,30.1691,5.7661,71.6175,179.971,72.1352,178.578,71.08,178.568,71.0306,-178.552,72.0934,-178.647,11
1,60,8,-30.9036,21.1356,50.1137,-106.061,50.6801,-105.448,50.4882,-107.159,49.5542,-106.578,49.6411,-104.82,2
1,60,9,-33.7849,4.57514,17.6354,-93.596,18.2321,-93.0946,17.9422,-94.2787,17.0912,-94.0352,17.2833,-92.8263,2
1,60,10,33.2961,-4.85637,-1.571,126.187,-1.54452,125.59,-2.26754,126.295,-1.61006,126.846,-0.953402,126.088,4
1,60,11,27.6919,-0.376253,25.488,151.373,25.5519,150.764,24.8838,151.389,25.4129,152.034,26.042,151.36,1
1,60,12,35.8564,10.2316,43.7716,-168.743,44.1275,-169.562,43.1155,-169.022,43.3609,-167.802,44.3567,-168.462,1
1,60,13,30.2913,16.2814,42.8027,-117.798,43.3916,-118.169,42.4824,-118.485,42.135,-117.363,43.0788,-117.13,11
1,60,14,-13.6359,-20.4059,27.9118,-81.5217,28.4918,-81.6092,27.9178,-82.0956,27.3788,-81.463,27.9263,-80.9542,2
1,60,15,32.1211,20.2206,-4.41888,-56.8513,-3.71448,-56.8282,-4.47595,-57.4686,-5.24081,-56.8566,-4.39697,-56.2696,2
1,60,16,32.0445,16.6791,-30.7182,-31.4484,-30.0444,-31.4802,-30.8362,-32.1553,-31.4945,-31.3911,-30.6302,-30.7864,1
1,60,17,26.0284,-3.58271,-48.8554,6.66393,-48.3554,6.3768,-49.1285,5.85251,-49.3943,6.97027,-48.5985,7.39875,1
1,60,21,34.3566,3.12623,-45.6616,-15.3899,-45.1917,-14.8323,-45.3611,-16.2302,-46.1885,-16.03,-45.9319,-14.6329,2
1,60,22,30.1388,19.5406,-80.5483,25.1524,-79.9019,24.8765,-80.6324,21.6645,-81.2911,25.6511,-80.4653,28.4229,3
1,60,23,15.4145,-15.1116,-62.6512,143.372,-62.8608,142.432,-63.1521,143.839,-62.4477,144.323,-62.1916,142.928,1
1,60,24,-21.3373,-13.5186,-26.9264,152.429,-27.2659,151.899,-27.3256,152.753,-26.6243,152.918,-26.5223,152.082,1
1,60,25,-36.8708,-1.76615,9.76074,157.425,9.40703,156.777,9.30736,157.868,10.0717,157.995,10.2686,156.918,1
1,60,26,-31.6811,10.3655,46.2824,165.238,46.0197,164.456,45.7883,165.752,46.5331,165.956,46.8442,164.657,1
1,60,27,40.3317,0.738591,74.0823,-142.805,74.3311,-145.192,73.2856,-142.964,73.7575,-140.138,74.7702,-142.632,1
1,60,28,36.6999,-18.528,61.4158,-46.5891,61.9487,-45.9859,61.7035,-48.3355,60.8453,-47.2893,61.1715,-45.1299,1
1,60,30,33.9251,-8.42168,42.2134,13.5813,42.5588,14.2278,42.7095,12.8573,41.8408,12.8652,41.7785,14.2131,2
1,60,31,-8.89432,23.6611,3.1782,16.2677,3.52454,16.6241,3.59857,15.9536,2.80089,15.917,2.70646,16.5905,2
1,60,32,-33.1473,7.96425,-31.5774,17.3085,-31.2112,17.922,-31.1471,16.7736,-31.9186,16.7546,-32.067,17.9157,2
1,60,33,-37.2225,9.57063,-67.7328,18.1815,-67.3236,19.6781,-67.2821,16.791,-68.1004,16.8258,-68.247,19.8505,1
1,60,34,33.4417,-8.5949,-76.7731,-138.196,-77.2934,-139.377,-76.9555,-135.125,-76.2022,-136.942,-76.5891,-140.831,2
1,60,36,35.5617,-20.3479,-7.29851,-160.806,-7.67832,-161.28,-7.93377,-160.173,-6.91614,-160.269,-6.77548,-161.352,1
1,60,37,38.1003,14.7353,32.402,-161.925,31.8759,-162.556,32.0419,-161.204,33.0306,-161.18,32.744,-162.559,1
1,60,38,-38.7818,10.4351,66.88,178.841,66.3276,177.628,66.5653,-179.488,67.3746,179.926,67.2346,176.834,1
1,60,39,-34.3195,-13.3476,77.1721,43.293,77.3769,46.7024,77.6998,42.0866,76.9709,40.4173,76.5992,44.595,2
1,60,40,-17.7631,-18.1785,47.8453,-2.77901,48.4278,-3.14322,47.6826,-3.53111,47.3084,-2.47793,48.026,-2.02566,9
1,60,41,-6.69293,22.8029,21.3551,34.4177,21.8791,34.4327,21.4374,33.8388,20.8095,34.43,21.2402,35.038,2
1,60,42,12.1124,15.827,-7.2034,55.6768,-6.67157,55.7171,-7.15051,55.1612,-7.77554,55.6492,-7.27352,56.1915,1
1,60,43,7.88677,-23.1367,-31.4243,78.7413,-30.8807,78.6795,-31.3505,78.0454,-31.9496,78.7713,-31.4666,79.3858,1
