step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
1,60,1,-29.4151,-9.5373,-49.1906,-69.0717,-48.4615,-68.7072,-49.063,-70.0147,-49.8363,-69.4176,-49.3024,-68.0445,3
1,60,2,27.1389,3.54291,-77.5615,-0.0251031,-77.1016,-2.01394,-78.0853,-1.98428,-78.047,2.33323,-77.0699,1.67121,1
1,60,4,-32.5396,-21.6466,-18.6587,78.2339,-19.1854,77.3608,-19.2077,78.635,-18.2283,78.982,-18.0995,77.7721,1
1,60,6,-12.4525,23.1547,54.1427,107.201,53.9334,106.289,53.5427,107.466,54.3786,108.125,54.8092,106.945,2
1,60,7,30.5381,5.77636,71.5686,179.976,72.0907,178.581,71.0257,178.572,70.9758,-178.542,72.0485,-178.64,12
1,60,8,-31.0772,21.3409,50.0916,-106.008,50.6588,-105.391,50.47,-107.111,49.5311,-106.528,49.6133,-104.76,2
1,60,9,-33.2558,4.509,17.6269,-93.6761,18.2186,-93.1844,17.9318,-94.3502,17.086,-94.108,17.278,-92.9183,1
1,60,10,33.61,-4.80655,-1.59414,126.219,-1.56607,125.619,-2.29564,126.33,-1.63507,126.883,-0.972997,126.118,3
1,60,11,28.2382,-0.338891,25.446,151.42,25.5122,150.807,24.8357,151.438,25.3681,152.088,26.0045,151.405,1
1,60,13,30.3373,16.3914,42.7929,-117.785,43.3828,-118.157,42.4722,-118.472,42.1237,-117.348,43.0693,-117.117,11
1,60,15,31.9774,20.2658,-4.40867,-56.8371,-3.70601,-56.8147,-4.46449,-57.4528,-5.22811,-56.8415,-4.38785,-56.2564,2
1,60,17,26.566,-3.41712,-48.9135,6.65397,-48.4092,6.3666,-49.1907,5.83601,-49.4582,6.9615,-48.6533,7.39351,1
